Year,Month,Price
2010,1,15.85
2010,2,16.45
2010,3,16.87
2010,4,14.5
2010,5,14.94
2010,6,14.94
2010,7,16.46
2010,8,16.22
2010,9,16.33
2010,10,14.95
2010,11,15.61
2010,12,16
2011,1,16.33
2011,2,16.8
2011,3,16.04
2011,4,15.5
2011,5,15.48
2011,6,15.69
2011,7,15.72
2011,8,15.94
2011,9,16.59
2011,10,15.85
2011,11,14.8
2011,12,16.37
2012,1,16.98
2012,2,16.82
2012,3,16.88
2012,4,16.08
2012,5,16.97
2012,6,16.85
2012,7,16.34
2012,8,15.97
2012,9,16.76
2012,10,14.72
2012,11,15.2
2012,12,16.03
2013,1,17.13
2013,2,17.15
2013,3,17.91
2013,4,16.62
2013,5,16.54
2013,6,17.23
2013,7,17.06
2013,8,17.13
2013,9,16.87
2013,10,17.4
2013,11,17.48
2013,12,17.94
2014,1,17.26
2014,2,17.18
2014,3,20.04
2014,4,21.09
2014,5,21.75
2014,6,20.81
2014,7,21.11
2014,8,21.09
2014,9,20.52
2014,10,16.79
2014,11,21.56
2014,12,21.32
2015,1,20.12
2015,2,21.03
2015,3,20
2015,4,20.27
2015,5,20.48
2015,6,20.18
2015,7,20.57
2015,8,21.7
2015,9,23.06
2015,10,20.29
2015,11,19.78
2015,12,19.65
2016,1,21.24
2016,2,20.65
2016,3,21.32
2016,4,21.07
2016,5,21.62
2016,6,21.83
2016,7,20.94
2016,8,21.28
2016,9,20.98
2016,10,18.83
2016,11,20.11
2016,12,20.44
2017,1,21.06
2017,2,19.51
2017,3,19.83
2017,4,20.69
2017,5,20.78
2017,6,20.49
2017,7,21.87
2017,8,21.72
2017,9,19.08
2017,10,20.36
2017,11,20.06
2017,12,21.53
2018,1,21.32
2018,2,20.91
2018,3,20.58
2018,4,19.3
2018,5,22.23
2018,6,21.62
2018,7,21.79
2018,8,22.99
2018,9,24.3
2018,10,20.69
2018,11,19.95
2018,12,19.28
2019,1,20.2
2019,2,19.58
2019,3,19.51
2019,4,19.49
2019,5,20.64
2019,6,20.56
2019,7,20.25
2019,8,16.72
2019,9,17.07
2019,10,16.3
2019,11,14.39
2019,12,16.66
2020,1,16.67
2020,2,17.15
2020,3,19.18
2020,4,18.87
2020,5,24.29
2020,6,19.28
2020,7,19.87
2020,8,19.66
2020,9,17.76
2020,10,16.28
2020,11,17.25
2020,12,21.62
2021,1,16.72
2021,2,18.59
2021,3,19.68
2021,4,18.91
2021,5,18.01
2021,6,20.79
2021,7,20.26
2021,8,19.55
2021,9,18.33
2021,10,17.83
2021,11,19.41
2021,12,18.69
2022,1,16.54
2022,2,18.78
2022,3,20.95
2022,4,19.12
2022,5,16.57
2022,6,16.62
2022,7,18.38
2022,8,19.15
2022,9,20.48
2022,10,19.36
2022,11,19.73
2022,12,19.58
2023,1,18.58
2023,2,20.29
2023,3,20.41
2023,4,24.28
2023,5,26.53
2023,6,22.52
2023,7,23.01
2023,8,26.77
2023,9,23.85
2023,10,26.49
2023,11,28.07
2023,12,27.84
2024,1,27.06
2024,2,25.49
2024,3,28.21
2024,4,27.83
2024,5,30.3
2024,6,27.86
2024,7,27.85
2024,8,27.78
2024,9,27.69
2024,10,27.74
2024,11,27.94
2024,12,28.24
